,trialNum,drawDuration,repetition,gameID,target,condition,generalization,outcome,bis
35,36,2.3035644154023336,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.22941468124381276,-2.074149734158521
36,37,-0.18916868611136023,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.418583367355173
37,38,-0.5073242120790313,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,0.736738893322844
38,39,-0.09032425085926822,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,0.31973893210308096
39,40,-0.7729686318190284,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,1.0023833130628412
40,1,3.5647713916530535,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,-3.0647726416499284
41,2,0.17727339130644393,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.4999987500031249,0.32272535869668095
42,3,0.7820721528728882,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_05,control,between,-1.9999950000125002,-2.7820671528853884
43,4,0.8796315397845818,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_04,control,between,0.4999987500031249,-0.37963278978145687
44,5,0.3123289126895366,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.18766983731358827
45,6,0.2730968460666848,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.2269019039364401
46,7,0.42516450253402277,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.07483424746910211
47,8,1.6743412787200531,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.4999987500031249,-1.1743425287169282
48,9,0.22900416941976237,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.2709945805833625
49,10,0.49356022930129545,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,-1.9999950000125002,-2.4935552293137957
50,11,0.1585253240707453,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.3414734259323796
51,12,0.05089753068062017,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.4491012193225047
52,13,0.576190599710488,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,-1.9999950000125002,-2.5761855997229883
53,14,-0.07513114351491308,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.575129893518038
54,15,-0.4035695065699394,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,-1.9999950000125002,-1.5964254934425608
55,16,0.23178166086208848,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.26821708914103637
56,17,0.16408030695539688,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.335918443047728
57,18,1.2806318667703702,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,-1.9999950000125002,-3.28062686678287
58,19,-0.6410450248887961,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,-1.9999950000125002,-1.358949975123704
59,20,-0.3060101196582459,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.8060088696613708
60,21,-0.18935547908056202,4,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.6893542290836869
61,22,1.346597288525608,4,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,-0.846598538522483
62,23,-0.13206971808259196,4,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.6320684680857168
63,24,0.2560847109824388,4,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.2439140390206861
64,25,0.4300251125580921,5,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.06997363744503277
65,26,-0.9389309820782389,5,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,1.4389297320813639
66,27,-0.9899673873309753,5,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,1.4899661373341002
67,28,-0.3601712027835987,5,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.8601699527867236
68,29,-0.561192145921929,6,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,-1.9999950000125002,-1.438802854090571
69,30,-0.14005500597927917,6,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.640053755982404
70,31,-0.19178578409259697,6,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.6917845340957218
71,32,0.04430098850509633,6,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.45569776149802854
72,33,-2.637714185490759,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.4999987500031249,3.1377129354938837
