,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
36,37,-0.7312337172103549,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,0.9045322155551274,1.6357659327654823
37,38,0.7072588412362446,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,-1.105539374567378,-1.8127982158036227
38,39,-1.6902287561747547,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.9045322155551274,2.5947609717298823
39,40,-1.2107312366925547,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.9045322155551274,2.115263452247682
40,1,1.3793821828758779,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,-1.0946358652271049
41,2,1.3793821828758779,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.28474631764877295,-1.0946358652271049
42,3,0.4028284250876458,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.28474631764877295,-0.11808210743887287
43,4,-0.08544845380647022,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.37019477145524315
44,5,0.8911053039817618,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,-0.6063589863329888
45,6,-0.08544845380647022,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.37019477145524315
46,7,3.332489698452342,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_00,control,between,0.28474631764877295,-3.047743380803569
47,8,0.8911053039817618,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_01,control,between,0.28474631764877295,-0.6063589863329888
48,9,-0.5737253327005862,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.8584716503493592
49,10,-0.5737253327005862,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.8584716503493592
50,11,-1.0620022115947023,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,1.3467485292434753
51,12,-0.08544845380647022,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.5118712510015353,-3.426422797195065
52,13,-0.08544845380647022,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.5118712510015353,-3.426422797195065
53,14,-0.08544845380647022,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.37019477145524315
54,15,-1.0620022115947023,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,1.3467485292434753
55,16,0.8911053039817618,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,-0.6063589863329888
56,17,-0.08544845380647022,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.37019477145524315
57,18,-0.08544845380647022,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.37019477145524315
58,19,-0.08544845380647022,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.37019477145524315
59,20,-0.5737253327005862,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.8584716503493592
60,21,-0.5737253327005862,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.8584716503493592
61,22,-0.5737253327005862,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.8584716503493592
62,23,-0.5737253327005862,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.8584716503493592
63,24,-0.5737253327005862,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.8584716503493592
64,25,-1.0620022115947023,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,1.3467485292434753
65,26,-0.5737253327005862,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.8584716503493592
66,27,-0.5737253327005862,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.8584716503493592
