gameID,orig_gameID,repetition,acc_norm,rt_norm,bis,bis_baseline,version,trialNum,bis_relative,repetition_1
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0,0.3165672763308258,2.9012683488386637,-2.584701072507838,-1.3010757732767837,refgame,1,-1.2836252992310542,1
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0,0.3165672763308258,1.162875423837666,-0.8463081475068401,-1.3010757732767837,refgame,4,0.45476762576994356,1
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0,0.3165672763308258,2.192239253649154,-1.8756719773183281,-1.3010757732767837,refgame,5,-0.5745962040415444,1
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0,0.3165672763308258,0.214189172104965,0.10237810422586083,-1.3010757732767837,refgame,6,1.4034538775026446,1
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,1,0.3165672763308258,0.3435557228459884,-0.02698844651516258,-1.3010757732767837,refgame,9,1.274087326761621,2
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,1,0.3165672763308258,-0.12746878340905257,0.44403605973987836,-1.3010757732767837,refgame,10,1.745111833016662,2
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,1,0.3165672763308258,-0.6340324464245459,0.9505997227553717,-1.3010757732767837,refgame,11,2.2516754960321554,2
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,1,-3.0601503378646493,0.9956577930128149,-4.055808130877464,-1.3010757732767837,refgame,12,-2.7547323576006804,2
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,2,-3.0601503378646493,0.8246931993404073,-3.8848435372050565,-1.3010757732767837,refgame,13,-2.5837677639282726,3
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,2,0.3165672763308258,0.4152690188058631,-0.09870174247503727,-1.3010757732767837,refgame,14,1.2023740308017463,3
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,2,0.3165672763308258,-1.4727771673573107,1.7893444436881365,-1.3010757732767837,refgame,15,3.09042021696492,3
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,2,0.3165672763308258,1.3767846867333238,-1.060217410402498,-1.3010757732767837,refgame,16,0.24085836287428575,3
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,3,0.3165672763308258,-0.1279614040092267,0.44452868034005255,-1.3010757732767837,refgame,17,1.7456044536168362,4
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,3,0.3165672763308258,0.43554614698977423,-0.11897887065894841,-1.3010757732767837,refgame,18,1.1820969026178352,4
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,3,0.3165672763308258,-0.2574812066718074,0.5740484830026332,-1.3010757732767837,refgame,19,1.8751242562794168,4
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,3,0.3165672763308258,-0.010222974041147921,0.32679025037197373,-1.3010757732767837,refgame,20,1.6278660236487574,4
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,4,0.3165672763308258,-1.162279598771773,1.4788468751025987,-1.3010757732767837,refgame,21,2.779922648379382,5
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,4,0.3165672763308258,-0.29119567482093167,0.6077629511517575,-1.3010757732767837,refgame,22,1.9088387244285412,5
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,4,0.3165672763308258,-0.5740412408937484,0.8906085172245742,-1.3010757732767837,refgame,23,2.191684290501358,5
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,4,0.3165672763308258,-0.2277313250072019,0.5442986013380278,-1.3010757732767837,refgame,24,1.8453743746148115,5
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,5,0.3165672763308258,-0.18217522135746417,0.49874249768829,-1.3010757732767837,refgame,25,1.7998182709650736,6
0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,5,0.3165672763308258,0.368075493623028,-0.051508217292202174,-1.3010757732767837,refgame,26,1.2495675559845816,6
