,trialNum,drawDuration,repetition,gameID,target,condition,generalization,outcome,bis
36,37,-0.7174568008142848,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,0.9045322155551274,1.6219890163694122
37,38,0.8366152829510921,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,-1.105539374567378,-1.9421546575184703
38,39,-1.7586871425762653,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.9045322155551274,2.6632193581313928
39,40,-1.5334622690438604,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.9045322155551274,2.437994484598988
40,1,3.403421836150039,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,-3.118675518501266
41,2,2.2134976302566653,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.28474631764877295,-1.9287513126078923
42,3,0.20988796767421738,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.28474631764877295,0.07485834997455557
43,4,0.7545350540683068,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,-0.46978873641953384
44,5,2.1253166734119078,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,-1.8405703557631348
45,6,-0.13695712924849496,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.4217034468972679
46,7,2.0627254844358256,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_00,control,between,0.28474631764877295,-1.7779791667870526
47,8,1.0349850776020253,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_01,control,between,0.28474631764877295,-0.7502387599532523
48,9,-0.032177404056489174,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.3169237217052621
49,10,-0.39181738491353885,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.6765637025623118
50,11,-0.7175682137282894,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,1.0023145313770623
51,12,0.5750608713136829,1,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.5118712510015353,-4.086932122315218
52,13,0.4021570343631783,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.5118712510015353,-3.9140282853647137
53,14,0.027993131202286577,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.25675318644648637
54,15,-1.144294883322135,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,1.429041200970908
55,16,1.0000585025380238,2,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,-0.7153121848892507
56,17,-0.39216319258743965,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.6769095102362126
57,18,0.045283514897337285,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.23946280275143567
58,19,-0.48103576477999926,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.7657820824287722
59,20,-0.3077861201555935,3,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.5925324378043664
60,21,-1.0007846986532163,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,1.2855310163019893
61,22,-0.5035132635835647,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.7882595812323376
62,23,-0.6819500233164855,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.9666963409652585
63,24,-0.4609789196937405,4,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.7457252373425134
64,25,-0.4298562290426503,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.7146025466914232
65,26,-0.01177475129632926,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.2965210689451022
66,27,-0.7922626712909074,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,1.0770089889396803
67,28,-0.8067865935947498,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,1.0915329112435228
68,29,-0.8558912832886932,6,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,1.1406376009374661
