iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	eventType
pilot2_bonusmeter	7201-dd697119-e7fb-4323-b756-804d3fa5b0bc	1531160509791	1	bullmastiff	M63,204c0,-18.24712 -6.02029,-84.97717 2,-94c18.3596,-20.65455 72.55817,-16.29819 92,2c47.1367,44.36396 -72,125.61219 -72,48	1	0	0	0	stroke
pilot2_bonusmeter	7201-dd697119-e7fb-4323-b756-804d3fa5b0bc	1531160510553	1	bullmastiff	M140,220c-25.64345,-21.36954 -71.17943,-101.05395 -17,-116c45.35585,-12.51196 46.7701,42.72336 34,71c-1.94096,4.29785 -13.7782,23.01211 -21,19c-33.0457,-18.35872 -6.77555,-72.11223 21,-86	2	0	0	0	stroke
