iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	eventType
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161557792	18	weimaraner	M177,234c-64.37323,0 -73.07144,-38.50072 -74,-97c-0.23497,-14.80316 -5.70397,-50.12947 11,-60c33.07787,-19.54602 48.41697,12.71387 50,42c1.88003,34.78055 -9.54162,51.83329 -36,73	1	0	9	23	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161563677	19	bullmastiff	M199,221c-41.15293,0 -43.03016,-107.43214 -33,-130c7.75892,-17.45758 49.8508,-19.52931 62,-9c7.40849,6.4207 7.61356,18.2949 9,28c7.14612,50.02283 -67.82249,102 -114,102	1	0	9	23	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161569725	20	pug	M125,210c-37.88731,0 -59.36664,-74.24054 -45,-104c12.06683,-24.99558 48.68474,-39.92093 75,-34c25.96145,5.84133 26.25228,56.60429 22,74c-3.70992,15.17696 -18.33673,34.95481 -31,44c-7.931,5.665 -30.46388,16.53612 -40,7	1	0	9	23	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161575513	21	goldenretriever	M186,155c-14.27112,0 -32.16596,1.20023 -45,-3c-4.24934,-1.39069 -51.07084,-33.92916 -37,-48c14.22561,-14.22561 29,2.71949 29,19c0,16.91236 -13.61696,29.80848 -28,37	1	0	9	23	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161581113	22	weimaraner	M134,225c-30.10985,-18.06591 -59.94,-105.17625 5,-93c37.7071,7.07008 -18.87602,79.12398 -40,58	1	0	9	23	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161587334	23	bullmastiff	M190,218c-7.97763,0 -20.05853,2.89986 -27,-2c-14.16044,-9.99561 -44.68634,-166.64173 31,-146c20.03036,5.46283 18.21637,41.4036 17,56c-2.60376,31.24507 -37.83138,58 -68,58	1	0	10	26	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161592867	24	pug	M154,197c-31.90116,0 -28,-98.12909 -28,-116c0,-8.48646 -5.2903,-36.13491 10,-41c26.98656,-8.58663 30.42867,20.37737 20,39c-12.66837,22.62208 -38.53059,27 -62,27	1	0	10	26	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161598633	25	goldenretriever	M175,211c-41.04026,0 -59.63648,-82.47924 -48,-92c2.94149,-2.40667 7.25725,-2.33951 11,-3c35.86995,-6.32999 25.09228,43.69894 15,61c-9.23021,15.82322 -18.35725,23.23817 -33,33	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161604463	26	weimaraner	M193,227c-34.42514,0 -58.61518,-15.95122 -69,-51c-2.76417,-9.32907 -9.97366,-38.5987 1,-45c43.01269,-25.09073 75.37144,48.27143 5,60	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161610578	27	pug	M197,245c-29.56496,0 -48.53138,-1.52267 -68,-28c-5.53223,-7.52383 -10.26965,-35.90194 1,-40c33.79919,-12.29061 14.6918,76.6164 11,84	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161616454	28	bullmastiff	M110,200c-38.91155,-6.48526 -44.36193,-85.01049 -45,-115c-0.12055,-5.66566 -3.19983,-39.90009 1,-42c25.37526,-12.68763 39.42338,18.07263 38,38c-1.62068,22.68952 -17.32276,38.10759 -38,45	1	0	11	29	stroke
