iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
47061,-20.53927 -11,-25c-8.85119,-25.81596 -25,-61.70663 -25,-90	1	0	0	stroke
testing	7182-210c986e-5acc-4c94-919b-e261848185a3	1530772575091	2	brown	M124,151c-7.05951,0 -32,5.00658 -32,-7	1	0	0	stroke
testing	7182-210c986e-5acc-4c94-919b-e261848185a3	1530772589465	3	white	M106,221c-24.59309,-24.59309 -16,-71.78783 -16,-103c0,-11.84431 -4.43421,-47 17,-47	1	0	0	stroke
testing	7182-210c986e-5acc-4c94-919b-e261848185a3	1530772603512	4	hatchback	M179,138c-16.01832,-5.33944 -48.72353,-44 -60,-44	1	0	0	stroke
