iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	9777-5785536e-4b51-4184-aeab-ab67d74a64ed	1530642536259	1	bluesedan	M148,225c-17.30516,0 -33.67289,-57.90965 -34,-59c-13.48339,-44.94462 -12,-83.02183 -12,-129	1	0	0	stroke
testing	9777-5785536e-4b51-4184-aeab-ab67d74a64ed	1530642536518	1	bluesedan	M143,96c-0.66667,0 -1.33333,0 -2,0	2	0	0	stroke
testing	9777-5785536e-4b51-4184-aeab-ab67d74a64ed	1530642542251	2	white	M177,221c-41.15152,0 -54,-32.44078 -54,-70c0,-37.91757 3.85264,-75.02947 54,-65c31.35145,6.27029 20.29809,45.12425 1,57c-33.01843,20.31903 -61.7032,16 -98,16	1	0	0	stroke
testing	9777-5785536e-4b51-4184-aeab-ab67d74a64ed	1530642552315	3	beetle	M243,238c-69.86138,0 -155.473,-11.784 -166,-96c-1.41317,-11.30534 -5.11038,-39.11202 2,-48c26.88248,-33.60309 119.55494,-7.99889 94,38c-18.59404,33.46927 -62.72424,46 -98,46c-22.893,0 -51.11826,-12.52694 -44,-41c3.61328,-14.45314 16.94309,-26.37241 31,-30c2.06849,-0.53381 28.36087,-1.72804 31,-1c12.23971,3.37647 25.73099,16.17171 32,27c28.51657,49.25589 -42.44535,70.55465 -59,54	1	0	0	stroke
