iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	7996-2a5db977-b82f-4a20-8760-107d297daf07	1530639180557	1	bluejay	M134,168c-24.45246,-30.56557 -18.03079,-81 28,-81c5.66667,0 11.76923,-2.17949 17,0c19.50329,8.12637 30.56375,85.71812 10,96c-26.70621,13.35311 -68.47622,-41.52378 -56,-54c15.87879,-15.87879 58.6777,-5.25611 62,18c0.73424,5.13965 -1.58683,4.41317 -4,2	1	0	0	stroke
testing	7996-2a5db977-b82f-4a20-8760-107d297daf07	1530639186270	2	nightingale	M128,191c-13.46784,-6.73392 -35.77368,-52.08259 -25,-67c9.29961,-12.87638 64.51004,-10.20808 76,2c1.60869,1.70924 2.93008,15.39182 3,17c1.46738,33.74973 -39.27892,49 -68,49	1	0	0	stroke
