iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
testing	8235-f0499839-7b5e-4222-b05b-4417059e4796	1530466795902	1	leather	M104,220c0,-27.15224 -1.4295,-44.5253 -16,-68c-6.77611,-10.91706 -21.26466,-29.73534 -17,-34c0.22876,-0.22876 4.33987,-0.33987 3,1c-0.94281,0.94281 2.69469,0.27194 4,0c6.7274,-1.40154 13.42488,-3.0025 20,-5c3.79369,-1.15251 59.38915,-25 81,-25	1	0	0	stroke
testing	8235-f0499839-7b5e-4222-b05b-4417059e4796	1530466796810	1	leather	M259,116c-15.66667,0 -31.33333,0 -47,0c-1.33333,0 -4,0 -4,0c0,0 14.00275,18.62193 15,21c6.48775,15.4708 19,40.98323 19,59	2	0	0	stroke
