,trialNum,drawDuration,repetition,gameID,condition,target,generalization,outcome,bis_score
0,1,0.026115818303718535,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,-0.026115818303718535
1,4,1.4152888297268902,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-2.4963699108079718
2,5,1.101038327078182,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-1.101038327078182
3,6,1.1430300853712185,0,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-1.1430300853712185
4,9,1.0012216533445029,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-1.0012216533445029
5,10,-0.5889614697082816,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.5889614697082816
6,11,-0.030676421436988878,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,0.0,0.030676421436988878
7,12,0.791950710553577,1,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-0.791950710553577
8,13,2.4575126767565885,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-2.4575126767565885
9,14,-0.7176906011622819,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.7176906011622819
10,15,-0.10158063745034678,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-0.9795004436307346
11,16,0.01923191542985069,2,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-0.01923191542985069
12,17,-0.51358270862065,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,0.51358270862065
13,18,1.6028753881962774,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-1.6028753881962774
14,19,-0.7349003583469516,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,-1.0810810810810814,-0.3461807227341298
15,20,0.10149457939135006,3,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_04,within,-1.0810810810810814,-1.1825756604724313
16,21,0.25672681076607745,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_00,within,0.0,-0.25672681076607745
17,22,0.22919119927060608,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_01,within,0.0,-0.22919119927060608
18,23,-1.0956172464255653,4,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,repeated,waiting_07,within,0.0,1.0956172464255653
