,trialNum,numStrokes,repetition,gameID,condition,target,generalization,outcome,bis_score
37,37,0.4784404203541396,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_03,within,0.0,-0.4784404203541396
38,39,0.4784404203541396,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_02,within,0.0,-0.4784404203541396
39,40,-0.35362987591392897,7,7053-d1f771d6-a55b-4681-961f-5a9ebb43cbdb,control,waiting_05,within,0.0,0.35362987591392897
40,1,1.6999730165154783,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,-1.6999730165154783
41,2,1.0523642483191056,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,-1.066382335949456,-2.1187465842685613
42,3,-0.8904620562700124,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,0.8904620562700124
43,5,1.6999730165154783,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,-1.6999730165154783
44,9,-0.24285328807363973,1,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,0.24285328807363973
45,10,-0.8904620562700124,1,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,0.8904620562700124
46,11,-0.24285328807363973,1,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,0.24285328807363973
47,12,-0.8904620562700124,1,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,0.8904620562700124
48,13,1.0523642483191056,2,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,-1.0523642483191056
49,14,-0.24285328807363973,2,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,0.24285328807363973
50,15,0.4047554801227329,2,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,-0.4047554801227329
51,16,-0.24285328807363973,2,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,0.24285328807363973
52,17,-0.24285328807363973,3,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,0.24285328807363973
53,18,-1.538070824466385,3,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,1.538070824466385
54,19,-0.8904620562700124,3,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,0.8904620562700124
55,20,0.4047554801227329,3,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,-0.4047554801227329
56,21,0.4047554801227329,4,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,-0.4047554801227329
57,22,-1.538070824466385,4,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,1.538070824466385
