iterationName	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pngString	pose	condition	phase	repetition	score	bonus_score	eventType
run1_chairsOnly	9024-625d28e6-dbec-4150-a1aa-d0ccb34306ee	1531971201796	1	armchair_01	6	4	armchair_09	3	2	armchair_05	2	3	armchair_03	1	6	armchair_01	armchair_05	false	iVBORw0KGgoAAAANSUhEUgAAASwAAAEsCAYAAAB5fY51AAAOiklEQVR4Xu3d7Y0sVxEG4OMIgAgMERgiMEQARIAdgSECQwRABIYIgAjAERhHAI4AiABUaK+0HvXcme3qU9N15mnpyj+8e6r6qaNX3T0f+8FwECBAoInAB0361CYBAgSGwLIJCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgILHuAAIE2AgKrzag0SoCAwLIHCBBoIyCw2oxKowQICCx7gACBNgICq82oNEqAgMCyBwgQaCMgsNqMSqMECAgse4AAgTYCAqvNqDRKgIDAsgcIEGgjILDajEqjBAgIrOfYAz8cY/xijBH/fX38fYwR//4yxvj3c1A4y84CAqvz9G73HgH12zHGj2//6PjzGP//98c7ftaPEHiIgMB6CHtJ0U/GGF/sqPTPMcavBdcOOb8yXUBgTSd+SIG9YfW62QiuT8cYf3vIGShKYENAYK23LeI28KsDT+t3Y4xfHbiepQjsFhBYu+lO+4t/vfLM6psxxh9eHrLHA/bvvvzcz8YYH944m7jK+rkH86ed+dM0JrDWGvW1W8F4FTD+37VXAuOqLJ5b/fQ9HHGLGKEVryo6CDxEQGA9hH1a0X+MMb5/sfqXd75KGL8WryZGcH18pcMIvJ8IrWnzs/ANAYG1zhaJW7x/bZxOBMxbH5z/8uXtEFs6caX1I7eH62ycTmcisDpN6/29xrOoPyWuri5Xj6uteF/WdzbKxm1hBKE3m66zf1qcicBqMaa7moxX8z67+MnfvNzi3bXAxg/F7WWE1kdXQiuutBwEygQEVhn19EJx23f57CkekkfgZI4Irbii2rrSygZipi+/+4QCAmudoW8F1p7nV1si8SpirL8VWnGV5ZXDdfbRqc9EYJ16PG9qbmZgRSPX3pAaYeXW8E2j8sN7BQTWXrnz/d7swIozjrc8fL5x6m4Nz7cfluxIYK0z1orACq24otp6CP+DMUa85cFBYJqAwJpGW75wPFy/fKd6fHg5Po5z5HHt1jC+libeTe8gME1AYE2jLV9463bt92OMeBPo0ce1W0NXWUdLW+9bAgJrnQ0Rb/SMDz6/PmY9EI931cft3+Wrhq6y1tlPpzwTgXXKsexq6tpHc2bN2FXWrjH5pYzArM2c6cnv7hfYeiB+1HuxLrtylbV/Tn5zp4DA2gl30l+LB+zxxyZeH/Hle/GxnRnH1lVWfL7wezOKWZOAwFprD2x9y8Ks51ghd+0q64iPBK01GWdziIDAOoTxNIvE5/7iO7Euj5mv3m1d1Xn4fpotsVYjAmutecbZbD3HmnlbuPW1Nm4L19tXpzgjgXWKMRzaRPVtYTQfAXX5Fge3hYeO1WIhILDW2wduC9ebqTN6ERBYa26FrdvCmR9Qdlu45j463VkJrNON5JCGtm4L47YtHr7P+lrj/250Hm9vmFXvECiL9BIQWL3mdW+3124LZ15lVX1bxL0Gfm5BAYG14FBfTmnr7QYzr7K26s0MyHUn58yuCgisdTdH9VXW1m1o/AHXeL7lIHCIgMA6hPG0i1ReZVV+W8RpwTU2V0BgzfV99OrVV1lbD97tsUfvgoXq20wLDfPKqWxdZcWPzvgWh/iOrA8v+pj5saD1p+cMvyUgsNbfENeusmY8gPdK4fr76aFnKLAeyl9WfOuvQkfx+B74+AjNUYfAOkrSOpsCAus5NkZ8DUyEydZfuznyg9EC6zn208POUmA9jL688LW/dhONHPXXdbb+cs+MZ2XleAqeQ0BgnWMOVV1svVfqXe0jQmvrG0i9ebRquk9QR2A9wZAvTnHrtu2o0BJYz7efSs9YYJVyn6LY+55nRYNxFRZ/z9BB4HQCAut0Iylp6FZoxVVYPIyPr6lxEDiNgMA6zSjKG7kVWtFQ3OLFM6izHfExoAhVx5MJCKwnG/jF6d4TWnGVFVdbZwiIeBPsF2OMCKzL44gXDZ57NzQ4e4HVYEiTW7wntKKF+NhNvAE1/iJO9ZfyRY+fvVzxbXH8Z4wRb9uIHh0LCwishYf7xlO79qfnL5eJsIr3W8VnFL98Y423/nhcUX3+8hU1EVrXDldXb5Vt+vMCq+ngJrUdARFB9PEb1o9bxbhtjP9+nbzKiboRTHG1FN+jFf+9dQirW0IL/X+BtdAwDzyVeGtDXHFd/umue0tEgL2+bbx8/hVB9PqKaeuZ1K1a34wxPjnJs7Vbvfr/BwkIrIMgF1wmrrYiECK89gbXDJZ4XhXP0iJQHU8mILCebOA7TzeCK/695VZxZ6mrv/YuqCKsqh/6H30u1tspILB2wj3pr8VVV1xxxS3c1jc/zGCJ52LxkF9QzdBttqbAajawk7UbwRX/4plU/Dd76xjhFFdP8Qws3qIQQeWtCicb+iPbEViP1F+z9j0P1N+F0juBy4f0a8o4q7SAwEoTWoAAgSoBgVUlrQ4BAmkBgZUmtAABAlUCAqtKWh0CBNICAitNaAECBKoEBFaVtDoECKQFBFaa0AIECFQJCKwqaXUIEEgLCKw0oQUIEKgSEFhV0uoQIJAWEFhpQgsQIFAlILCqpNUhQCAtILDShBYgQKBKQGBVSatDgEBaQGClCS1AgECVgMCqklaHAIG0gMBKE1qAAIEqAYFVJa0OAQJpAYGVJrQAAQJVAgKrSlodAgTSAgIrTWgBAgSqBARWlbQ6BAikBQRWmtACBAhUCQisKml1CBBICwisNKEFCBCoEhBYVdLqECCQFhBYaUILECBQJSCwqqTVIUAgLSCw0oQWIECgSkBgVUmrQ4BAWkBgpQktQIBAlYDAqpJWhwCBtIDAShNagACBKgGBVSWtDgECaQGBlSa0AAECVQICq0paHQIE0gICK01oAQIEqgQEVpW0OgQIpAUEVprQAgQIVAkIrCppdQgQSAsIrDShBQgQqBIQWFXS6hAgkBYQWGlCCxAgUCUgsKqk1SFAIC0gsNKEFiBAoEpAYFVJq0OAQFpAYKUJLUCAQJWAwKqSVocAgbSAwEoTWoAAgSoBgVUlrQ4BAmkBgZUmtAABAlUCAqtKWh0CBNICAitNaAECBKoEBFaVtDoECKQFBFaa0AIECFQJCKwqaXUIEEgLCKw0oQUIEKgSEFhV0uoQIJAWEFhpQgsQIFAlILCqpNUhQCAtILDShBYgQKBKQGBVSatDgEBaQGClCS1AgECVgMCqklaHAIG0gMBKE1qAAIEqAYFVJa0OAQJpAYGVJrQAAQJVAgKrSlodAgTSAgIrTWgBAgSqBARWlbQ6BAikBQRWmtACBAhUCQisKml1CBBICwisNKEFCBCoEhBYVdLqECCQFhBYaUILECBQJSCwqqTVIUAgLSCw0oQWIECgSkBgVUmrQ4BAWkBgpQktQIBAlYDAqpJWhwCBtIDAShNagACBKgGBVSWtDgECaQGBlSa0AAECVQICq0paHQIE0gICK01oAQIEqgQEVpW0OgQIpAUEVprQAgQIVAkIrCppdQgQSAsIrDShBQgQqBIQWFXS6hAgkBYQWGlCCxAgUCUgsKqk1SFAIC0gsNKEFiBAoEpAYFVJq0OAQFpAYKUJLUCAQJWAwKqSVocAgbSAwEoTWoAAgSoBgVUlrQ4BAmkBgZUmtAABAlUCAqtKWh0CBNICAitNaAECBKoEBFaVtDoECKQFBFaa0AIECFQJCKwqaXUIEEgLCKw0oQUIEKgSEFhV0uoQIJAWEFhpQgsQIFAlILCqpNUhQCAtILDShBYgQKBKQGBVSatDgEBaQGClCS1AgECVgMCqklaHAIG0gMBKE1qAAIEqAYFVJa0OAQJpAYGVJrQAAQJVAgKrSlodAgTSAgIrTWgBAgSqBARWlbQ6BAikBQRWmtACBAhUCQisKml1CBBICwisNKEFCBCoEhBYVdLqECCQFhBYaUILECBQJSCwqqTVIUAgLSCw0oQWIECgSkBgVUmrQ4BAWuB/BPPmLeaDtJAAAAAASUVORK5CYII=	35	control	pre	0	0	0	clickedObj
run1_chairsOnly	9024-625d28e6-dbec-4150-a1aa-d0ccb34306ee	1531971213332	2	armchair_06	3	1	armchair_11	1	6	armchair_02	2	3	armchair_04	5	4	armchair_06	armchair_04	false	iVBORw0KGgoAAAANSUhEUgAAASwAAAEsCAYAAAB5fY51AAAOZUlEQVR4Xu3dWahuZR0G8EcaLG9UKNCiAUKwgYwIoZKMJjQILcqguojKMgqywWbSsCjBsqDRBonKCoNCaJACQSkoCcEGI4JQjLwJpRDCimKBxWZ1ulDfb+3v/f9/312HXOt9fs/Lw3Gf7T5HxYcAAQKTCBw1yTkdkwABAjFYLgEBAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqYqByVAwGC5AwQITCNgsKapykEJEDBY7gABAtMIGKxpqnJQAgQMljtAgMA0AgZrmqoclAABg+UOECAwjYDBmqaqvTzoSUnuTnLLXp7OocoJGKxylW4W6Jwk30pySZJ3b/ZWL2otYLBa13+fwj88yduTvOuef/qvSU5LctN9epp/iMC9EDBY9wLL/zUnJPlKkhesLL6Q5PV8COxawGDtWrje89+b5MNHiHV6kuvqxZVonwQM1j61McdZjk3yiySPWx33qiTL17V8COxMwGDtjLb0g89PctkREp6Z5Ielkwt3qAIG61D5p3350Ul+nuTJqwQfv+cL8tMGc/D9FjBY+93PPp/uDUk+tzrg8ieFp+zzoZ1tbgGDNXd/h3n65U8M/5DkIatDPDXJjYd5MO+uK2Cw6na7RbIfJDlj9aL3/58/RdziPN5RXMBgFS94x/GW73D/yOod1yd51o7f6/FNBQxW0+IHxX5Skl8e4VnHJ7lz0Ds8hsB/BQyWy3B/BW5OcvLqIa9McuX9fbB/nsBawGC5E/dXYPlWhreuHnJ5kuVPEX0IDBUwWEM5Wz7s2UmuXSVfvhP+aS01hN6pgMHaKW+Lhx+X5I4jJHW3WtS/bUiXalvvqm9bvh/rsatwy++wlt9p+RAYJmCwhlG2ftB3kpy9Eli+hrV8LcuHwDABgzWMsvWDLkpy4UrAF95bX4ndhDdYu3Ht9tTld1fL77IOfnzhvdst2CCvwdoAucErlq9fLV/HWn/crwblbxnRhdpSu/a7lj8pXP7E8ODHF95rd755OoO1OXnZFy7fi7V8T9bBz1lJri6bWLDNBQzW5uRlX7j8iOSXrtK9JskVZRMLtrmAwdqcvOwLP5vkvFW6C5JcWjaxYJsLGKzNycu+8OIky8/COvj5aJL3lE0s2OYCBmtz8rIvfEuST6zSfTHJuWUTC7a5gMHanLzsC5cfKfO1Vbrle7NeUjaxYJsLGKzNycu+cPnboK9ZpVv+YtXlL1j1ITBEwGANYfSQJMtfPrH+j51/nWT5qaQ+BIYIGKwhjB6S5NFJbllJ3J7kRDoERgkYrFGSnnNMkrtWDH9P8mA0BEYJGKxRkp6zCPzrCAzumLsxTMBlGkbpQQbLHdi1gMHatXCv5/sdVq++N09rsDYnL/1Cg1W63sMPZ7AOv4NKJzBYldrcwywGaw9LmfhIBmvi8mY4usGaoaV5zmiw5ulqypMarClr29tDG6y9rabGwQxWjR73JYXB2pcmip7DYBUt9pBiGaxDgu/yWoPVpeltchqsbZzbvsVgta1+J8EN1k5YPfQ/AgbLXRgpYLBGanrW/wgYLJdipIDBGqnpWQbLHdipgMHaKa+H+x2WOzBK4AFJ/rF62D+TPHDUCzyHgMFyB0YJLH9N/fLX1R/83Jnk+FEv8BwCBssdGCXwqCS3rh52W5Ll130IDBEwWEMYPSTJ45P8ZiXx23t+HRCBIQIGawijhyQ5NcnPVhI33PPrgAgMETBYQxg9JMlzk/x4JXFtkufQITBKwGCNkvScs5Msf9Pzwc/VSc5CQ2CUgMEaJek5r0ry1RXDlUmWv8Leh8AQAYM1hNFDkrwxyWdWEp9Pch4dAqMEDNYoSc95Z5JLVgwfS/IONARGCRisUZKe86Ek71sxfDDJRWgIjBIwWKMkPedTSd60Ylj+9/pfE0kRuM8CBus+0/kHVwJfT/KK1a+9LMm3SREYJWCwRkl6zveTnLliOD3JdWgIjBIwWKMkPeenSZ6+YnhCkpvREBglYLBGSXrOMkwnrxgeluTPaAiMEjBYoyQ9509JTjjA4GdhuRPDBQzWcNK2D/xbkqMPpL89yYltNQTfiYDB2glru4cek+SuVeqbkpzSTkLgnQoYrJ3ytnn4I5L8cZV2+ckNz28jIOgmAgZrE+byL3likl+tUvoPn8vXvn1Ag7W9ecU3npbk+lWwTyY5v2JYmQ5PwGAdnn2lN78oyfKzrw5+PpDk4kohZTl8AYN1+B1UOMGrk1yxCnJBkksrhJNhfwQM1v50MfNJ3pZk+VEyBz9vTvLpmUM5+/4JGKz962TGEx3pR8u8NsmXZwzjzPsrYLD2t5uZTrb8CJnlJ44e/Cw/ueEbM4Vw1v0XMFj739EMJ/xmkpevDvriJN+d4fDOOI+AwZqnq30+6Y+SPG91wDOSXLPPh3a2+QQM1nyd7eOJb0zylNXBnplk+ZEzPgSGCRisYZStH3RbkkeuBE5K8vvWKsIPFzBYw0lbPvDuJA9aJT82yV9aagi9MwGDtTPaNg8+Lskdq7TLj5p5aBsBQTcTMFibUZd90fKvfr9bpbs1yWPKJhbs0AQM1qHRl3nxM5L8ZJXmhiSnlkkoyN4IGKy9qWLag7wwyfdWp1++nWH5tgYfAkMFDNZQzpYPW75hdPnG0YOfq5Kc01JD6J0KGKyd8rZ4+LlJLl8l/VKS17VIL+SmAgZrU+6SLzvST2q4LMny6z4EhgoYrKGcLR92UZILV8k/mGT5dR8CQwUM1lDOlg8zWC1rP5zQButw3Cu91WBVanPPsxisPS9oguMZrAlKqnJEg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBUBg1WlSTkINBAwWA1KFpFAFQGDVaVJOQg0EDBYDUoWkUAVAYNVpUk5CDQQMFgNShaRQBWBfwNBWactTOHunwAAAABJRU5ErkJggg==	35	repeated	pre	0	0	0	clickedObj
run1_chairsOnly	9024-625d28e6-dbec-4150-a1aa-d0ccb34306ee	1531971231462	3	armchair_05	6	5	armchair_09	3	6	armchair_03	4	2	armchair_00	5	1	armchair_05	armchair_10	false	iVBORw0KGgoAAAANSUhEUgAAASwAAAEsCAYAAAB5fY51AAAJjklEQVR4Xu3YMa4McBTF4ftq61AoxSbEPiQ0EjaABUgkIsQSbEDsQaFSKfQaS5AnXsSYwnTze/d77cwk5/+dmxNxMf4IECAQEbiI5BSTAAECY7AcAQECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCUoAQIGyw0QIJARMFiZqgQlQMBguQECBDICBitTlaAECBgsN0CAQEbAYGWqEpQAAYPlBggQyAgYrExVghIgYLDcAAECGQGDlalKUAIEDJYbIEAgI2CwMlUJSoCAwXIDBAhkBAxWpipBCRAwWG6AAIGMgMHKVCXoCQLPZub1zHw/4Te+GhAwWIGSRDxJ4HKsns7Mx5m5e9IvffnsBQzW2Vck4AkCV2N19ZO3M/PwhN/76pkLGKwzL0i8/xY4HKurHz6fmcvP/F0DAYN1DUr0hF8C92bm/czcOPD4NjO3Z+YHp76Awep36AV/BJ7MzIsjII9n5iWovoDB6nfoBX8LvJuZ+wcon3//K4tVXMBgxQsU/x+BWzPz5YjLzZn5yqstYLDa/Ul/XODTzNw5+Ojy/7g+AGsLGKx2f9IfF3gzMw8OPno0M6+AtQUMVrs/6QmsEjBYq+r2WAJtAYPV7k96AqsEDNaquj2WQFvAYLX7k57AKgGDtapujyXQFjBY7f6kJ7BKwGCtqttjCbQFDFa7P+kJrBIwWKvq9lgCbQGD1e5PegKrBAzWqro9lkBbwGC1+5OewCoBg7Wqbo8l0BYwWO3+pCewSsBgrarbYwm0BQxWuz/pCawSMFir6vZYAm0Bg9XuT3oCqwQM1qq6PZZAW8BgtfuTnsAqAYO1qm6PJdAWMFjt/qQnsErAYK2q22MJtAUMVrs/6QmsEjBYq+r2WAJtAYPV7k96AqsEDNaquj2WQFvAYLX7k57AKgGDtapujyXQFjBY7f6kJ7BKwGCtqttjCbQFDFa7P+kJrBIwWKvq9lgCbQGD1e5PegKrBAzWqro9lkBbwGC1+5OewCoBg7Wqbo8l0BYwWO3+pCewSsBgrarbYwm0BQxWuz/pCawS+AldyRYt3S3ZjAAAAABJRU5ErkJggg==	35	control	pre	0	0	0	clickedObj
